"","Country","CountryCode","mean_feeling_of_happiness","mean_life_satisfaction","mean_financial_satisfaction","Year","gdp","Number_below_$3.65_a_day","Number_below_$6.85_a_day","Number_below_$10_a_day","total_population","Region","Latitude","Longitude","Length","Area"
"488","Moldova","MDA",2.4746835443038,4.56118143459916,4.06329113924051,"2006",1183.02103050816,"304865","1206745","1871379",2880967,"Europe and Central Asia",47.411631,28.369885,12.4572467834433,3.99894238766346
"489","Moldova","MDA",2.4746835443038,4.56118143459916,4.06329113924051,"1998",578.734627562193,"1557328","2460777","2737927",2935227,"Europe and Central Asia",47.411631,28.369885,12.4572467834433,3.99894238766346
"490","Moldova","MDA",2.4746835443038,4.56118143459916,4.06329113924051,"2001",507.404076252819,"1607337","2501913","2738733",2918135,"Europe and Central Asia",47.411631,28.369885,12.4572467834433,3.99894238766346
"491","Moldova","MDA",2.4746835443038,4.56118143459916,4.06329113924051,"2008",2110.56198967544,"207454","974989","1727209",2868833,"Europe and Central Asia",47.411631,28.369885,12.4572467834433,3.99894238766346
"492","Moldova","MDA",2.4746835443038,4.56118143459916,4.06329113924051,"2013",3321.04391743353,"46657","602467","1414671",2859558,"Europe and Central Asia",47.411631,28.369885,12.4572467834433,3.99894238766346
"493","Moldova","MDA",2.4746835443038,4.56118143459916,4.06329113924051,"1997",657.29213459795,"1146418","2219209","2640950",2936413,"Europe and Central Asia",47.411631,28.369885,12.4572467834433,3.99894238766346
"494","Moldova","MDA",2.4746835443038,4.56118143459916,4.06329113924051,"1999",399.499818596336,"1932555","2591206","2754996",2930622,"Europe and Central Asia",47.411631,28.369885,12.4572467834433,3.99894238766346
"495","Moldova","MDA",2.4746835443038,4.56118143459916,4.06329113924051,"2015",2731.06558405856,"25289","500723","1349278",2835978,"Europe and Central Asia",47.411631,28.369885,12.4572467834433,3.99894238766346
"496","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe and Central Asia",43.750298,7.412841,0.1374125681801,0.00103618862793813
"497","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"2011",3793.74375416147,"243584","1211773","1902661",2743938,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
